Adresse;Bezeichnung;Größe
3676342;Maske für CrCtl Abschaltbedingung, die zur Abschaltung des TSK führen;1x1
3416186;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416187;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3712156;Bitmaske für Bremsenstatus BrkCD_stPressed;1x1
3712876;Maske zur Auswahl der EDS Bremseneingriffe;1x1
3712876;Maske zur Auswahl der EDS Bremseneingriffe;1x1
3712877;Maske zur Auswahl der ESP Bremseneingriffe;1x1
3712877;Maske zur Auswahl der ESP Bremseneingriffe;1x1
3676730;Maske für irreversible Abschaltbedingung;1x1
3676410;Zustandsautomat der Beschleunigungsschnittstelle / Bremsmomentengradient beim Übergang ins Halten;5x1
3676448;Zustandsautomat der Beschleunigungsschnittstelle / Rampensteigung für Soft Stop Momentenrampe;5x1
3676484;Zustandsautomat der Beschleunigungsschnittstelle / Zeit für Abrampen der Bremse beim Übertreten;4x1
3676508;Zustandsautomat der Beschleunigungsschnittstelle / Verzögerungszeit für Übergang auf Haltemoment bei Soft-Stop;3x1
3676558;Zustandsautomat der Beschleunigungsschnittstelle / Haltemoment der Soft-Stop Funktion;9x1
3676590;Zustandsautomat der Beschleunigungsschnittstelle / Reduziertes Moment der Soft-Stop Funktion;6x1
3676622;"Zustandsautomat der Beschleunigungsschnittstelle / Momentenoffset für """"Fahrer übertritt nicht";3x1
3676656;Zustandsautomat der Beschleunigungsschnittstelle / Momentenkorrektur im Übertreten;5x1
3676682;Zustandsautomat der Beschleunigungsschnittstelle / Obere Geschwindigkeitsgrenze für Soft-Stop-Funktion;7x1
3675676;Maske für die a-Überwachung;1x1
3676344;TSK Status über CAN - Maske für Conditions 2;1x1
3676345;TSK Status über CAN - Maske für Conditions 3;1x1
3675677;Auswahlschalter für die Überprüfung des ACC Typ Information (Basis ACC, ACC mit Follow to Stop);1x1
3676732;Applikationsschalter zur Auswahl von ACC mit oder ohne aktiven Bremsverstärker;1x1
3676733;Freigabeschalter zur Berechnung der Momentenschnittstelle;1x1
3676346;ACCI Aktivierung bei offenem Triebstrang;1x1
3712157;Umschaltung Fehlverbauerkennung VW - Audi;1x1
3675678;Steuerungsschalter des Beschleunigungsreglers;1x1
3676734;Schalter zur EPB-Ausblendung;1x1
3675679;Umschalter für die Auswertung der ACC im Schubbetrieb;1x1
3675680;Teil-Freigabebedingung der Reset Bedingung der ACC Auswertung im Schubbetrieb;1x1
3675681;Schalter zum Einbinden des ACC-Status ACC fordert Schub für die Berechnung des Bremsverbots;1x1
3676347;Freigabebedingung für die Fahrpedal und Momentenauswertung zur Berechnung der Kupplungsauswertung;1x1
3675682;Umschaltbedingung der Fahrbahnreibung für die Auswertung der ACC im Schubbetrieb;1x1
3675683;Umschalter auf Vorsteuerung ohne Berg;1x1
3676348;Umschaltung auf Vorgabewert der Sollbeschleunigung Getriebe auch im Status OVERRIDE;1x1
3676349;Neg. Sollbeschleunigungstoleranz;1x1
3712878;Freigabebedingung für die Berechung der Rückwärtsgangerkennung beim Automat;1x1
3675684;"Aktivierung des Getriebestatus """"Gangschaltung aktiv"""" für ACCI";1x1
3675685;Auswahlschalter Beschleunigungswert für Reglerinitialisierung;1x1
3676350;Schnelle Cruise Control Abschaltrampe;1x1
3712158;Applikationsschalters für die Auswertung der Bremsenfehler für GRA+;1x1
3712879;Applikationsschalter für die Berechnungsquelle der lokalen Stillstandsinformation in ACCI_FrcRoad;1x1
3675686;Auswahlschalter Beschleunigungswert für Reglerinitialisierung;1x1
3713434;Umschalter für P-Regler-Anteil = 0 bei Initialisierung;1x1
3676351;ACCI Sperrmaske für Codierungs-Plausibilisierung;1x1
